zip_code,state_x,county_x,combine,income
15213,pa,allegheny,alleghenypa,78027.0
15214,pa,allegheny,alleghenypa,78027.0
15215,pa,allegheny,alleghenypa,78027.0
15216,pa,allegheny,alleghenypa,78027.0
15217,pa,allegheny,alleghenypa,78027.0
15218,pa,allegheny,alleghenypa,78027.0
15219,pa,allegheny,alleghenypa,78027.0
15220,pa,allegheny,alleghenypa,78027.0
15221,pa,allegheny,alleghenypa,78027.0
15222,pa,allegheny,alleghenypa,78027.0
15223,pa,allegheny,alleghenypa,78027.0
15224,pa,allegheny,alleghenypa,78027.0
15225,pa,allegheny,alleghenypa,78027.0
15226,pa,allegheny,alleghenypa,78027.0
15227,pa,allegheny,alleghenypa,78027.0
15228,pa,allegheny,alleghenypa,78027.0
15229,pa,allegheny,alleghenypa,78027.0
15230,pa,allegheny,alleghenypa,78027.0
15231,pa,allegheny,alleghenypa,78027.0
15232,pa,allegheny,alleghenypa,78027.0
15233,pa,allegheny,alleghenypa,78027.0
15234,pa,allegheny,alleghenypa,78027.0
15235,pa,allegheny,alleghenypa,78027.0
15236,pa,allegheny,alleghenypa,78027.0
15237,pa,allegheny,alleghenypa,78027.0
15238,pa,allegheny,alleghenypa,78027.0
15239,pa,allegheny,alleghenypa,78027.0
15240,pa,allegheny,alleghenypa,78027.0
15241,pa,allegheny,alleghenypa,78027.0
15242,pa,allegheny,alleghenypa,78027.0
15243,pa,allegheny,alleghenypa,78027.0
15244,pa,allegheny,alleghenypa,78027.0
15250,pa,allegheny,alleghenypa,78027.0
15251,pa,allegheny,alleghenypa,78027.0
15252,pa,allegheny,alleghenypa,78027.0
15253,pa,allegheny,alleghenypa,78027.0
15254,pa,allegheny,alleghenypa,78027.0
15255,pa,allegheny,alleghenypa,78027.0
15257,pa,allegheny,alleghenypa,78027.0
15258,pa,allegheny,alleghenypa,78027.0
15259,pa,allegheny,alleghenypa,78027.0
15260,pa,allegheny,alleghenypa,78027.0
15261,pa,allegheny,alleghenypa,78027.0
15262,pa,allegheny,alleghenypa,78027.0
15263,pa,allegheny,alleghenypa,78027.0
15264,pa,allegheny,alleghenypa,78027.0
15265,pa,allegheny,alleghenypa,78027.0
15266,pa,allegheny,alleghenypa,78027.0
15267,pa,allegheny,alleghenypa,78027.0
15268,pa,allegheny,alleghenypa,78027.0
15270,pa,allegheny,alleghenypa,78027.0
15272,pa,allegheny,alleghenypa,78027.0
15274,pa,allegheny,alleghenypa,78027.0
15275,pa,allegheny,alleghenypa,78027.0
15276,pa,allegheny,alleghenypa,78027.0
15277,pa,allegheny,alleghenypa,78027.0
15278,pa,allegheny,alleghenypa,78027.0
